Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price_euro,Edad,Name_General
Pune,41000,Diesel,Manual,3,19.67,1582.0,126.2,5.0,13895.06,9,Hyundai
Chennai,46000,Petrol,Manual,3,9.75,1199.0,88.7,5.0,5002.22,13,Honda
Chennai,87000,Diesel,Manual,3,20.77,1248.0,88.76,7.0,6669.63,12,Maruti
Coimbatore,40670,Diesel,Automatic,2,15.2,1968.0,140.8,5.0,19719.88,11,Audi
Jaipur,86999,Diesel,Manual,3,23.08,1461.0,63.1,5.0,3890.62,11,Nissan
Mumbai,36000,Diesel,Automatic,3,11.36,2755.0,171.5,8.0,19453.09,8,Toyota
Pune,64430,Diesel,Manual,3,20.54,1598.0,103.6,5.0,5780.35,11,Volkswagen
Chennai,65932,Diesel,Manual,2,22.3,1248.0,74.0,5.0,2167.63,12,Tata
Kochi,25692,Petrol,Manual,3,21.56,1462.0,103.25,5.0,11060.47,6,Maruti
Kolkata,60000,Petrol,Automatic,3,16.8,1497.0,116.3,5.0,4991.11,12,Honda
Jaipur,64424,Diesel,Manual,3,25.2,1248.0,74.0,5.0,6224.99,9,Maruti
Delhi,72000,Diesel,Automatic,3,12.7,2179.0,187.7,5.0,30013.34,10,Land
Pune,85000,Diesel,Automatic,2,0.0,2179.0,115.0,5.0,19453.09,12,Land
Delhi,110000,Diesel,Manual,3,13.5,2477.0,175.56,7.0,16674.08,10,Mitsubishi
Kochi,58950,Diesel,Manual,3,25.8,1498.0,98.6,5.0,6002.67,8,Honda
Jaipur,25000,Diesel,Manual,3,28.4,1248.0,74.0,5.0,6658.51,7,Maruti
Kochi,77469,Diesel,Manual,3,20.45,1461.0,83.8,5.0,7047.58,10,Renault
Bangalore,78500,Diesel,Automatic,3,14.84,2143.0,167.62,5.0,31124.94,10,Mercedes-Benz
Kochi,32982,Diesel,Automatic,3,22.69,1995.0,190.0,5.0,20620.28,10,BMW
Bangalore,55392,Diesel,Manual,2,23.65,1248.0,88.5,5.0,9170.74,9,Maruti
Mumbai,55985,Petrol,Automatic,3,13.53,1984.0,177.01,5.0,26122.72,9,Audi
Kolkata,45807,Petrol,Manual,3,18.5,1197.0,80.0,5.0,2078.7,14,Hyundai
Kolkata,33000,Petrol,Automatic,3,14.4,1598.0,103.6,5.0,3168.07,14,Volkswagen
Mumbai,51920,Petrol,Manual,3,16.8,1497.0,116.3,5.0,4724.32,12,Honda
Hyderabad,54000,Diesel,Manual,3,13.84,1461.0,63.1,5.0,4724.32,12,Nissan
Hyderabad,54000,Petrol,Manual,2,20.92,998.0,67.1,5.0,3056.91,11,Maruti
Kochi,37430,Petrol,Manual,3,17.5,1199.0,88.7,5.0,11004.89,6,Honda
Mumbai,262000,Diesel,Manual,0,12.8,2494.0,102.0,7.0,4446.42,17,Toyota
Bangalore,62000,Diesel,Manual,3,19.01,1461.0,108.45,5.0,8614.94,11,Renault
Delhi,87615,Petrol,Manual,3,14.53,1798.0,138.1,5.0,7503.33,12,Toyota
Bangalore,72000,Diesel,Automatic,2,11.18,2696.0,184.0,7.0,13895.06,11,Mahindra
Kolkata,35000,Diesel,Automatic,3,12.4,2698.0,179.5,5.0,12783.46,14,Audi
Coimbatore,55431,Petrol,Manual,2,16.09,1598.0,103.5,5.0,7759.0,10,Volkswagen
