iter	RMSE
0	12482.01253
1	12085.45013
2	11687.39402
3	11311.80727
4	10938.86138
5	10573.52171
6	10236.58344
7	9913.877522
8	9630.565309
9	9348.117984
10	9096.056537
11	8836.324569
12	8596.180157
13	8375.774828
14	8164.330683
15	7960.161505
16	7765.706186
17	7588.430629
18	7423.658474
19	7258.495168
20	7096.630259
21	6937.53498
22	6792.939131
23	6664.398341
24	6527.348544
25	6404.879914
26	6288.620974
27	6175.799276
28	6083.617695
29	5982.230208
30	5890.270888
31	5803.403256
32	5711.869686
33	5622.458732
34	5546.986282
35	5473.84472
36	5401.21636
37	5337.987431
38	5266.608447
39	5204.852712
40	5145.029862
41	5090.231148
42	5040.062286
43	4997.795049
44	4955.45257
45	4905.516245
46	4863.414689
47	4823.559522
48	4784.990945
49	4733.220994
50	4689.819753
51	4651.285242
52	4605.737742
53	4565.954511
54	4528.320897
55	4500.611245
56	4469.411055
57	4445.023235
58	4421.699767
59	4393.851151
60	4363.995852
61	4344.510931
62	4323.890175
63	4304.499763
64	4282.634214
65	4262.81084
66	4243.523752
67	4226.6774
68	4212.103837
69	4197.975057
70	4184.351585
71	4163.785563
72	4144.759115
73	4129.327343
74	4114.198766
75	4098.375668
76	4084.636471
77	4067.210572
78	4059.229898
79	4047.140187
80	4036.516826
81	4018.872675
82	4009.784984
83	4001.836498
84	3986.872767
85	3961.503764
86	3953.854574
87	3946.198609
88	3932.740908
89	3925.018908
90	3917.235667
91	3908.931252
92	3891.977642
93	3888.442563
94	3876.246697
95	3865.043663
96	3844.694735
97	3819.656226
98	3810.154784
99	3800.801951
100	3792.690125
101	3771.832305
102	3768.373305
103	3757.510102
104	3748.761012
105	3741.714766
106	3739.891533
107	3717.4673
108	3707.205046
109	3694.386303
110	3686.855853
111	3665.953492
112	3649.813882
113	3643.64199
114	3635.380292
115	3630.006137
116	3621.608285
117	3607.640333
118	3595.611037
119	3588.189484
120	3586.587842
121	3580.166721
122	3563.079588
123	3547.317526
124	3536.503544
125	3533.355592
126	3521.601718
127	3520.215345
128	3510.415
129	3504.986815
130	3500.632254
131	3492.455456
132	3491.718803
133	3487.981049
134	3475.829417
135	3474.141275
136	3466.48862
137	3456.414882
138	3448.119444
139	3442.687397
140	3439.174962
141	3428.009053
142	3413.676809
143	3403.972259
144	3396.98207
145	3385.081874
146	3379.886765
147	3370.452258
148	3363.411107
149	3354.134195
150	3344.843327
151	3335.169694
152	3331.162625
153	3330.334039
154	3319.163408
155	3310.390389
156	3306.483814
157	3296.178334
158	3291.992658
159	3274.972864
160	3259.739655
161	3253.614843
162	3251.323424
163	3246.738821
164	3242.667375
165	3239.579465
166	3229.326249
167	3225.471431
168	3218.192265
169	3212.131828
170	3209.823233
171	3203.973359
172	3192.513697
173	3186.443138
174	3177.968929
175	3173.813773
176	3170.663075
177	3162.895809
178	3160.195281
179	3153.659366
180	3141.172474
181	3127.976366
182	3124.429651
183	3117.173706
184	3101.308701
185	3095.65974
186	3091.495356
187	3082.118679
188	3072.7336
189	3065.100669
190	3062.980094
191	3061.404938
192	3052.800431
193	3046.444659
194	3045.01872
195	3039.660733
196	3028.79685
197	3022.982183
198	3018.211142
199	3009.004904
200	2999.552486
201	2993.9571
202	2990.92733
203	2984.976962
204	2974.946051
205	2966.280301
206	2961.382895
207	2960.108508
208	2952.621939
209	2945.815847
210	2941.005594
211	2936.517548
212	2931.150689
213	2928.978736
214	2926.768929
215	2918.983678
216	2910.749028
217	2906.844779
218	2903.365345
219	2897.800483
220	2889.766695
221	2886.849051
222	2881.221618
223	2873.699232
224	2867.619147
225	2866.049063
226	2860.524221
227	2855.883154
228	2853.442694
229	2844.860171
230	2836.03132
231	2826.051956
232	2824.961282
233	2818.88387
234	2813.550795
235	2805.663146
236	2801.40077
237	2794.628557
238	2793.088705
239	2790.889743
240	2785.631669
241	2783.496791
242	2781.385048
243	2772.348103
244	2771.334994
245	2765.56206
246	2759.829453
247	2758.992154
248	2751.050876
249	2742.605085
250	2735.385318
251	2729.10033
252	2721.171988
253	2715.037501
254	2708.732933
255	2700.895909
256	2700.087792
257	2694.522405
258	2691.131266
259	2686.512531
260	2682.551389
261	2674.679379
262	2667.689318
263	2662.292253
264	2657.047039
265	2652.996509
266	2645.756393
267	2641.578502
268	2636.961024
269	2633.873952
270	2629.920455
271	2623.010103
272	2619.843946
273	2613.826082
274	2609.554767
275	2604.551345
276	2601.407512
277	2596.942604
278	2590.254866
279	2585.666737
280	2580.115851
281	2574.691404
282	2568.02092
283	2563.893342
284	2559.625691
285	2555.446588
286	2551.605871
287	2547.815808
288	2546.316842
289	2539.354551
290	2532.861148
291	2528.579124
292	2524.07786
293	2519.767491
294	2516.306769
295	2510.514585
296	2504.149184
297	2499.771937
298	2495.960452
299	2492.022814
300	2488.478253
301	2484.303169
302	2480.255312
303	2476.723969
304	2473.780388
305	2469.281256
306	2465.168799
307	2461.426034
308	2458.617827
309	2456.245625
310	2452.729383
311	2447.889922
312	2445.611336
313	2441.394434
314	2436.534033
315	2429.192602
316	2425.235138
317	2420.622668
318	2416.942953
319	2414.190547
320	2409.884723
321	2405.447303
322	2402.962535
323	2401.587183
324	2396.30179
325	2394.980877
326	2390.295253
327	2386.892676
328	2384.939606
329	2379.41145
330	2375.897844
331	2372.533631
332	2369.607919
333	2366.107548
334	2361.222992
335	2357.338
336	2354.277262
337	2349.030509
338	2345.522589
339	2339.863956
340	2334.987355
341	2332.192391
342	2327.887088
343	2326.382606
344	2323.251415
345	2320.442912
346	2316.585041
347	2311.604256
348	2308.447469
349	2305.161718
350	2301.973664
351	2297.350548
352	2295.951374
353	2292.850191
354	2289.223079
355	2286.696766
356	2282.822104
357	2279.575942
358	2275.152567
359	2271.231448
360	2268.310652
361	2265.208745
362	2261.84836
363	2258.062733
364	2254.489205
365	2251.197331
366	2246.515818
367	2243.268821
368	2240.324017
369	2236.503063
370	2233.653161
371	2230.19402
372	2227.653008
373	2224.581589
374	2221.282113
375	2218.815643
376	2216.295382
377	2213.688453
378	2210.672288
379	2206.563275
380	2203.216934
381	2200.529228
382	2197.634418
383	2193.786625
384	2191.423532
385	2188.65969
386	2185.870255
387	2183.236042
388	2179.551343
389	2176.15589
390	2173.930053
391	2171.180541
392	2168.749868
393	2165.8769
394	2162.18712
395	2159.497692
396	2156.394123
397	2153.969611
398	2151.354395
399	2148.117643
400	2145.421055
401	2142.602496
402	2140.672039
403	2137.941638
404	2134.629848
405	2132.276259
406	2128.241222
407	2124.81927
408	2121.594205
409	2117.957557
410	2114.239635
411	2112.301431
412	2109.369163
413	2105.86253
414	2101.724547
415	2096.648915
416	2095.384156
417	2093.161864
418	2090.076694
419	2086.797586
420	2084.535713
421	2080.948496
422	2077.34394
423	2074.500055
424	2070.874693
425	2068.099092
426	2063.594235
427	2059.264207
428	2054.745115
429	2051.905078
430	2049.754517
431	2047.243161
432	2043.632972
433	2040.261084
434	2038.480711
